"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","2","0","10","0","0"
"Pessoa","Tenta buscar o relatório completo de uma pessoa passando Id inválido","Id inválido","0","0","1","0","0"
"Contato","Deletar contato","Deletar um contato passando ID","1","0","0","0","0"
"Contato","Atualizar contato","Atualiza contato com dados corretos","1","0","0","0","0"
"Pessoa","Busca a lista completa de uma pessoa","Dados corretos","1","0","0","0","0"
"Pessoa","Busca pessoa com contatos","Dados corretos","1","0","0","0","0"
"Pessoa","Lista pessoas por CPF","Dados corretos","1","0","0","0","0"
"Pessoa","Busca o relatório completo de uma pessoa","Dados corretos","1","0","0","0","0"
"Pessoa","Lista pessoas por nome","Dados corretos","0","0","1","0","0"
"Contato","Tenta cadastrar contato com id inexistente","Id inexistente","1","0","0","0","0"
"Pessoa","Tentar listar pessoa com CPF inválido","CPF inválido","1","0","0","0","0"
"Pessoa","Deleta uma pessoa existente","Dados corretos","0","0","1","0","0"
"Pessoa","Adiciona uma pessoa","Dados corretos","0","0","1","0","0"
"Pessoa","Atualiza uma pessoa existente","Dados corretos","1","0","0","0","0"
"Contato","Tentar atualizar contato com ID inválido","ID inválido","1","0","0","0","0"
"Pessoa","Atualiza uma pessoa com id inválido","Id inválido","0","0","1","0","0"
"Contato","Tenta listar um contato com ID inexistente","ID incorreto","1","0","0","0","0"
"Contato","Listar contato por ID","ID correto","1","0","0","0","0"
"Pessoa","Tenta deletar uma pessoa inexistente","Dados corretos","0","0","1","0","0"
"Pessoa","Tenta listar pessoas com nome inválido","Nome inválido","0","0","1","0","0"
"Pessoa","Tenta buscar a lista de uma pessoa passando Id inválido","Id inválido","0","0","1","0","0"
"Pessoa","Lista os dados de todas as pessoas","Dados corretos","0","0","1","0","0"
"Contato","Tenta deletar contato com ID inválido","ID inválido","1","0","0","0","0"
"Pessoa","Adiciona uma pessoa com dados vazios","Dados vazios","0","0","1","0","0"
"Pessoa","Tenta buscar uma pessoa com endereço passando ID inválido","Id inválido","0","0","1","0","0"
"Pessoa","Busca uma pessoa com endereço","Dados corretos","1","0","0","0","0"
"Contato","Cadastrar um novo contato","Todos os dados corretos","1","0","0","0","0"
"Contato","Testa listar contatos","Todos os dados corretos","1","0","0","0","0"
"Pessoa","Tenta buscar uma pessoa com contatos passando Id inválido","Id inválido","0","0","1","0","0"
